time;TAmb;T1;T2
0;16.89;19.81;20.5
5;17.38;19.81;20.5
11;17.38;19.81;20.5
17;17.38;19.81;20.5
23;16.89;19.81;20.5
29;17.38;19.81;20.5
35;16.89;19.87;20.5
40;16.89;19.87;20.5
46;17.38;19.87;20.5
52;16.89;19.94;20.5
58;16.89;20;20.5
64;16.89;20;20.5
69;16.89;20.06;20.5
75;16.89;20.06;20.5
81;17.38;20.12;20.5
87;16.89;20.12;20.5
93;16.89;20.19;20.5
99;16.89;20.25;20.5
104;16.89;20.31;20.5
110;16.89;20.37;20.5
116;16.89;20.44;20.5
122;16.89;20.5;20.5
128;16.89;20.56;20.5
134;16.89;20.62;20.5
139;16.89;20.75;20.5
145;17.38;20.81;20.5
151;16.89;20.87;20.5
157;16.89;21;20.5
163;16.89;21.12;20.5
169;16.89;21.25;20.5
174;16.89;21.31;20.5
180;17.38;21.44;20.5
186;16.89;21.56;20.5
192;16.89;21.69;20.5
198;16.89;21.81;20.5
203;17.38;21.94;20.5
209;16.89;22.06;20.5
215;16.89;22.19;20.5
221;17.38;22.31;20.5
227;16.89;22.44;20.5
233;17.38;22.56;20.5
238;17.38;22.69;20.5
244;17.38;22.81;20.5
250;16.89;22.94;20.5
256;16.89;23.06;20.5
262;17.38;23.12;20.5
268;16.89;23.31;20.5
273;17.38;23.37;20.5
279;16.89;23.56;20.5
285;17.38;23.69;20.5
291;17.38;23.81;20.5
297;16.89;23.87;20.5
302;16.89;24;20.5
308;17.38;24.12;20.5
314;17.38;24.25;20.5
320;16.89;24.37;20.5
326;17.38;24.5;20.5
332;16.89;24.56;20.5
337;17.38;24.69;20.5
343;17.38;24.81;20.5
349;17.38;24.87;20.5
355;17.38;25;20.5
361;17.38;25.12;20.5
367;16.89;25.19;20.5
372;16.89;25.31;20.5
378;17.38;25.37;20.5
384;16.89;25.5;20.5
390;16.89;25.56;20.5
396;17.38;25.62;20.5
402;17.38;25.75;20.5
407;17.38;25.81;20.56
413;17.38;25.87;20.56
419;17.38;26;20.5
425;17.38;26.06;20.5
431;17.38;26.12;20.56
436;17.38;26.19;20.56
442;17.38;26.25;20.56
448;16.89;26.31;20.56
454;16.89;26.37;20.56
460;16.89;26.44;20.56
466;16.89;26.5;20.56
471;17.38;26.56;20.56
477;16.89;26.62;20.56
483;16.89;26.62;20.56
489;17.38;26.69;20.56
495;16.89;26.75;20.56
501;16.89;26.81;20.56
506;16.89;26.87;20.56
512;16.89;26.87;20.56
518;16.89;26.94;20.56
524;16.89;27;20.56
530;17.38;27.06;20.56
535;17.38;27.06;20.56
541;17.38;27.12;20.56
547;17.38;27.12;20.56
553;16.89;27.19;20.56
559;16.89;27.25;20.56
565;17.38;27.25;20.56
570;16.89;27.31;20.56
576;17.38;27.31;20.56
582;16.89;27.37;20.56
588;17.38;27.37;20.56
594;16.89;27.44;20.56
600;16.89;27.44;20.56
605;16.89;27.44;20.56
611;16.89;27.5;20.56
617;17.38;27.5;20.56
623;16.89;27.56;20.56
629;17.38;27.56;20.56
635;17.38;27.56;20.56
640;16.89;27.56;20.56
646;16.89;27.62;20.56
652;17.38;27.62;20.56
658;17.38;27.62;20.56
664;17.38;27.69;20.56
669;16.89;27.69;20.56
675;16.89;27.69;20.56
681;16.89;27.75;20.56
687;16.89;27.75;20.56
693;16.89;27.75;20.56
699;16.89;27.81;20.56
704;17.38;27.81;20.56
710;16.89;27.81;20.56
716;17.38;27.87;20.56
722;16.89;27.87;20.56
728;17.38;27.87;20.56
734;17.38;27.94;20.56
739;17.38;27.94;20.56
745;16.89;27.94;20.56
751;17.38;27.94;20.56
757;17.38;27.94;20.56
763;17.38;27.94;20.56
768;17.38;28;20.62
774;17.38;28;20.56
780;17.38;28;20.56
786;16.89;28;20.62
792;17.38;28;20.62
798;17.38;28;20.62
803;17.38;28;20.62
809;17.38;28.06;20.56
815;17.38;28.06;20.62
821;16.89;28.06;20.62
827;17.38;28.06;20.62
833;17.38;28.06;20.62
838;16.89;28.06;20.62
844;16.89;28.06;20.62
850;17.38;28.06;20.62
856;17.38;28.06;20.62
862;17.38;28.06;20.62
868;17.38;28.06;20.62
873;17.38;28.06;20.62
879;17.38;28.06;20.62
885;16.89;28.12;20.62
891;17.38;28.12;20.62
897;17.38;28.12;20.62
902;16.89;28.12;20.62
908;17.38;28.12;20.62
914;17.38;28.12;20.62
920;16.89;28.12;20.62
926;17.38;28.12;20.62
932;17.38;28.12;20.62
937;16.89;28.12;20.62
943;16.89;28.12;20.62
949;16.89;28.12;20.62
955;17.38;28.12;20.62
961;16.89;28.12;20.62
967;17.38;28.12;20.62
972;17.38;28.12;20.62
978;17.38;28.19;20.62
984;16.89;28.19;20.62
990;17.38;28.19;20.62
996;16.89;28.19;20.62
1001;16.89;28.19;20.62
1007;17.38;28.19;20.62
1013;17.38;28.19;20.62
1019;17.38;28.19;20.62
1025;17.38;28.19;20.62
1031;17.38;28.19;20.62
1036;16.89;28.19;20.69
1042;16.89;28.19;20.69
1048;16.89;28.19;20.69
1054;17.38;28.19;20.69
1060;17.38;28.19;20.69
1066;17.38;28.19;20.69
1071;17.38;28.19;20.69
1077;17.38;28.19;20.69
1083;17.87;28.19;20.69
1089;17.38;28.19;20.69
1095;17.38;28.19;20.69
1101;17.38;28.19;20.69
1106;17.38;28.19;20.69
1112;17.38;28.19;20.69
1118;17.38;28.19;20.69
1124;17.38;28.19;20.69
1130;17.38;28.19;20.69
1135;17.38;28.19;20.69
1141;17.38;28.19;20.69
1147;17.38;28.19;20.69
1153;17.38;28.19;20.69
1159;17.38;28.19;20.69
1165;16.89;28.19;20.69
1170;17.38;28.19;20.69
1176;17.38;28.19;20.69
1182;16.89;28.19;20.69
1188;17.38;28.19;20.69
1194;17.38;28.19;20.69
1200;17.38;28.19;20.69
1205;16.89;28.19;20.69
1211;16.89;28.19;20.69
1217;17.38;28.19;20.69
1223;17.38;28.19;20.69
1229;17.38;28.19;20.69
1234;17.38;28.19;20.75
1240;17.38;28.19;20.69
1246;16.89;28.19;20.75
1252;17.38;28.19;20.75
1258;16.89;28.19;20.75
1264;16.89;28.19;20.75
1269;17.38;28.19;20.75
1275;17.38;28.19;20.75
1281;17.38;28.19;20.75
1287;16.89;28.19;20.75
1293;17.38;28.19;20.75
1299;17.38;28.19;20.75
1304;16.89;28.19;20.75
1310;17.38;28.19;20.75
1316;17.38;28.19;20.75
1322;17.38;28.19;20.75
1328;17.38;28.19;20.75
1334;17.38;28.19;20.75
1339;17.38;28.19;20.75
1345;17.38;28.19;20.75
1351;17.38;28.19;20.75
1357;17.38;28.19;20.75
1363;17.38;28.25;20.75
1368;17.38;28.25;20.75
1374;17.38;28.19;20.75
1380;17.38;28.19;20.75
1386;17.38;28.19;20.75
1392;17.38;28.19;20.75
1398;16.89;28.19;20.75
1403;17.38;28.19;20.75
1409;17.38;28.19;20.75
1415;17.38;28.19;20.75
1421;17.38;28.25;20.75
1427;17.38;28.25;20.75
1433;17.38;28.25;20.75
1438;17.38;28.25;20.75
1444;17.38;28.25;20.75
1450;17.38;28.25;20.75
1456;17.38;28.25;20.75
1462;17.38;28.25;20.75
1467;17.38;28.31;20.75
1473;17.38;28.31;20.81
1479;17.38;28.31;20.81
1485;17.38;28.31;20.75
1491;17.38;28.31;20.75
1497;17.38;28.31;20.81
1502;16.89;28.31;20.81
1508;17.38;28.31;20.81
1514;17.38;28.37;20.81
1520;17.38;28.37;20.81
1526;17.38;28.37;20.75
1532;17.38;28.37;20.81
1537;17.38;28.37;20.81
1543;17.38;28.37;20.81
1549;17.38;28.44;20.81
1555;16.89;28.44;20.81
1561;16.89;28.44;20.81
1567;17.38;28.44;20.81
1572;17.38;28.44;20.81
1578;17.38;28.37;20.81
1584;16.89;28.37;20.81
1590;17.38;28.37;20.81
1596;17.38;28.37;20.81
1601;17.38;28.37;20.81
1607;17.38;28.37;20.81
1613;17.38;28.37;20.81
1619;17.38;28.44;20.81
1625;17.87;28.44;20.81
1631;18.36;28.44;20.81
1636;17.87;28.44;20.81
1642;17.87;28.44;20.81
1648;17.87;28.44;20.81
1654;17.87;28.44;20.81
1660;17.87;28.44;20.81
1666;17.87;28.5;20.81
1671;17.38;28.5;20.81
1677;17.87;28.5;20.81
1683;17.87;28.5;20.81
1689;18.36;28.5;20.81
1695;17.87;28.56;20.81
1700;17.87;28.56;20.81
1706;17.87;28.56;20.81
1712;17.87;28.56;20.81
1718;17.87;28.56;20.81
1724;17.87;28.56;20.81
1730;18.36;28.56;20.81
1735;17.87;28.56;20.81
1741;17.87;28.56;20.81
1747;17.87;28.56;20.81
1753;17.87;28.56;20.87
1759;17.87;28.56;20.81
1765;18.36;28.62;20.81
1770;17.87;28.62;20.81
1776;17.87;28.62;20.87
1782;17.87;28.62;20.87
1788;17.87;28.62;20.87
1794;17.87;28.62;20.81
1800;18.36;28.62;20.87
1805;18.36;28.62;20.87
1811;17.87;28.62;20.87
1817;17.87;28.62;20.87
1823;17.87;28.62;20.87
1829;17.87;28.62;20.87
1834;18.36;28.62;20.87
1840;18.36;28.62;20.87
1846;18.36;28.69;20.87
1852;17.38;28.69;20.87
1858;17.87;28.69;20.87
1864;17.87;28.69;20.87
1869;18.36;28.69;20.87
1875;17.87;28.69;20.87
1881;17.87;28.69;20.87
1887;17.87;28.69;20.87
1893;17.87;28.69;20.87
1899;17.87;28.75;20.87
1904;17.87;28.75;20.87
1910;17.87;28.75;20.87
1916;17.87;28.75;20.87
1922;17.87;28.75;20.87
1928;17.87;28.75;20.87
1933;17.87;28.75;20.87
1939;17.87;28.75;20.87
1945;18.36;28.75;20.87
1951;17.87;28.75;20.87
1957;18.36;28.75;20.87
1963;17.87;28.75;20.87
1968;18.36;28.75;20.87
1974;18.36;28.75;20.87
1980;18.36;28.81;20.87
1986;18.36;28.81;20.87
1992;17.87;28.81;20.94
1998;18.36;28.81;20.87
2003;17.87;28.81;20.87
2009;17.87;28.81;20.94
2015;18.36;28.81;20.87
2021;17.87;28.81;20.94
2027;17.87;28.81;20.94
2033;17.87;28.81;20.87
2038;17.87;28.81;20.94
2044;17.87;28.81;20.87
2050;18.36;28.81;20.94
2056;17.87;28.81;20.94
2062;17.87;28.81;20.94
2067;17.87;28.81;20.94
2073;17.87;28.81;20.94
2079;18.36;28.81;20.94
2085;17.87;28.81;20.94
2091;17.87;28.81;20.94
2097;17.87;28.81;20.94
2102;18.36;28.81;20.94
2108;17.87;28.81;20.94
2114;17.87;28.81;20.94
2120;17.87;28.81;20.94
2126;18.36;28.81;20.94
2132;18.36;28.81;20.94
2137;17.87;28.81;20.94
2143;17.87;28.87;20.94
2149;17.87;28.87;20.94
2155;18.36;28.87;20.94
2161;17.87;28.87;20.94
2166;17.87;28.87;20.94
